,amenities,area,homestay_name,place,price,region
0,"['Double Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Universal Adaptor', 'Laundry', 'Doctor on call', 'TV in property', 'Swimming Pool', 'Cooking Facility', 'Car Parking']",varca,Colourful homestay near the Varca beach New,goa,"2,000",south goa
1,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Room Heater', 'Internet Access', 'Clothes Rack', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Telephone in property', 'Disabled Friendly', 'Power Backup', 'Other Meals Served', 'Car Parking', 'Driver Accommodation']",unknown,Homestay by the lush green banks of Mapusa River,goa,"4,000",unknown
2,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Internet Access', 'Clothes Rack', 'Universal Adaptor', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Swimming Pool', 'Telephone in property', 'Disabled Friendly', 'Power Backup', 'Other Meals Served', 'Car Parking', 'Driver Accommodation']",unknown,Picturesque home with sprawling lawns,goa,"5,000",unknown
3,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Television', 'Internet Access', 'Clothes Rack', 'Universal Adaptor', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Telephone in property', 'Disabled Friendly', 'Power Backup', 'Other Meals Served', 'Car Parking', 'Driver Accommodation']",assagao,Modern home in Assagao village in North Goa,goa,"5,500",north goa
4,"['Double Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Television', 'Telephone', 'Mini Fridge', 'Tea & Coffee Maker', 'Internet Access', 'Clothes Rack', 'Universal Adaptor', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Pet Friendly', 'Swimming Pool', 'Telephone in property', 'Cooking Facility', 'Power Backup', 'Other Meals Served', 'Car Parking']",unknown,A Paradise Beach Apartment New,goa,"1,750",unknown
5,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Internet Access', 'Clothes Rack', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Telephone in property', 'Disabled Friendly', 'Power Backup', 'Other Meals Served', 'Car Parking', 'Driver Accommodation']",colva,Homestay close to Colva Beach,goa,"4,000",south goa
6,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Internet Access', 'Clothes Rack', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Pet Friendly', 'Swimming Pool', 'Telephone in property', 'Disabled Friendly', 'Power Backup', 'Other Meals Served', 'Car Parking']",unknown,Restored villa with swimming pool and entertaining hosts,goa,"3,700",unknown
7,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Telephone', 'Mini Fridge', 'Internet Access', 'Clothes Rack', 'Universal Adaptor', 'Travel Desk', 'Laundry', 'Internet Access', 'Doctor on call', 'TV in property', 'Telephone in property', 'Disabled Friendly', 'Cooking Facility', 'Power Backup', 'Other Meals Served', 'Car Parking', 'Driver Accommodation']",unknown,Elegant Villa in a gated community in Goa New,goa,"5,000",unknown
8,"['Double Bed', 'Extra Bed', 'Ensuite Toilet', 'Hot Water', 'Air Conditioning', 'Mini Fridge', 'Tea & Coffee Maker', 'Hair Dryer', 'Clothes Rack', 'Universal Adaptor', 'TV in property', 'Swimming Pool', 'Cooking Facility', 'Car Parking']",calangute,Holiday Apartment in Calangute Goa New,goa,"6,000",north goa
9,"['Double Bed', 'Twin Bed', 'Extra Bed', 'Ensuite Toilet', 'Towel & Toileteries', 'Hot Water', 'Air Conditioning', 'Television', 'Telephone', 'Mini Fridge', 'Tea & Coffee Maker', 'Travel Desk', 'Swimming Pool', 'Other Meals Served', 'Car Parking']",unknown,Stay by the River Sal in Goa New,goa,"2,641",unknown
