original ,mapped
Air Conditioning,Air Conditioner
Air conditioning,Air Conditioner
Air-conditioning,Air Conditioner
Airport pickup,Airport Pickup
Balcony,Balcony
Balcony / Terrace,Balcony
Bathtub,Bathtub
Breakfast,Breakfast
Breakfast available,Breakfast
Cable TV,TV
Car & Bikes hire assistance,Travel Assistance
Car Parking,Free Parking
Car hire on request,Travel Assistance
Child friendly,Family/Kid Friendly
Children's playground,Family/Kid Friendly
Childrens play area,Family/Kid Friendly
Childrens playground,Family/Kid Friendly
Clothes Rack,Safe/Locker available
Coffee Maker,Kitchen
Cooking Facility,Kitchen
Cooking Stove,Kitchen
Credit Cards Accepted,Digital Payments Accepted
Crockery & Cutlery,Kitchen
Dining,Kitchen
Disabled Friendly,Disabled Friendly
Doctor on call,Doctor on call
Driver Accommodation,Driver Accommodation
Dryer,Dryer
Ensuite Toilet,Bathroom attached
Essentials,Essentials
Family/Kid Friendly,Family/Kid Friendly
Fire Extinguisher,Fire Safety
Fire Safety,Fire Safety
First Aid Kit,First Aid
Free Parking on Premises,Free Parking
Free Wi-Fi High Speed Internet,Wireless Internet
Fully loaded kitchen,Kitchen
Garden,Garden
Gated complex,Gated complex
Geysers,Hot water
Hair Dryer,Hair Dryer
Heating,Room Heating
Hot Tub,Hot water
Hot Water,Hot water
Hot water,Hot water
Hot/Cold Running Water,Hot water
Internet,Wireless Internet
Internet Access,Wireless Internet
Internet access,Wireless Internet
Kitchen, Kitchen
LCD Satelite TV,TV
Laundry,Laundry
Laundry Facilities,Laundry
Laundry Facilitiy,Laundry
Laundry facilities,Laundry
Living Room,Living Room
Meals available,Bar / Restaurant
Meals on request,Bar / Restaurant
Meals on requet,Bar / Restaurant
Microwave,Microwave
Mini Bar/ Refrigerator,Fridge
Mini Fridge,Fridge
Other Meals Served,Bar / Restaurant
Parking,Free Parking
Pet Friendly,Pet Friendly
Pets Allowed,Pet Friendly
Pets live on this property,Pet Friendly
Pool,Swimming Pool
Power Backup,Power Backup
Power backup,Power Backup
Private Balcony,Balcony
Private balcony,Balcony
Private balcony or veranda,Balcony
Private swimming pool,Swimming Pool
Recreation,Activity Area
Refrigerator,Fridge
Room Heater,Room Heating
Room Service, Room Service
Safety Card,Safety Equipments
Satelite TV,TV
Satellite TV,TV
Satelltie TV,TV
Shampoo,essentials
Smoke Detector,safety equipments
Smoking Allowed,Smoking Allowed
Suitable for Events,Suitable for Events
Swimming Pool,swimming pool
Swimming pool,swimming pool
TV,TV
TV in property,TV
Tea & Coffee Maker,kitchen
Telephone,Telephone
Telephone in property,Telephone
Television,TV
Toiletries,essentials
Towel & Toileteries,essentials
Towels and sheets are provided,essentials
Towels and sheets provided,essentials
Transfer on request,Room Service
Travel Desk,travel assistance
Veranda,balcony
Washer,washer
Wheelchair Accessible,Disabled Friendly
Wireless Internet,Wireless Internet
Air Conditioner,Air Conditioner
Bar / Restaurant,Bar / Restaurant
Bathroom attached,Bathroom attached
Elevator in Building,Elevator in Building
Essentials,essentials
Family/Kid Friendly,Family/Kid Friendly
Free Parking on Premises,Free Parking
Hot water,Hot water
Kitchen,Kitchen
Pets Allowed,Pet Friendly
Phone (booth/lines),Phone
Room Heating,Room Heating
Safe/Locker available,Safe/Locker available
Smoking Allowed,Smoking Allowed
Suitable for Events,Suitable for Events
Swimming Pool,Swimming Pool
TV,TV
Washer,washer
Wireless Internet,Wireless Internet
